rank,english,transliteration,hebrew
182,article / dish / vessel / ware / tool,kli,כלי
183,additional (m.s.),nosaf,נוסף
184,in an area,be'ezor,באזור
185,good (m.s.),tov,טוב
186,in the world,ba'olam,בעולם
187,powers / forces / strength,kokhot,כוחות
188,inside,betokh,בתוך
189,the country / the earth / Israel,ha'arets,הארץ
190,the face of,pnei,פני
191,in a country,be'arets,בארץ
192,and he,vehu,והוא
193,the thing / the object / the item / the matter,hadavar,הדבר
194,only,bilvad,בלבד
195,power / force / strength,ko'akh,כוח
196,at home / in the house,babayit,בבית
197,since then,me'az,מאז
198,the life,hakhaim,החיים
199,days,yamim,ימים
200,through / along,le'orekh,לאורך
201,water,mayim,מים
202,many / a lot,harbe,הרבה
203,not / no / im- / in- / un- / dis- / except,bilti,בלתי
204,on him / about him,alav,עליו
205,spring,aviv,אביב
206,above / over / on top,me'al,מעל
207,the big / the large (m.s.),hagadol,הגדול
208,island / not / no / im- / in- / un- / dis-,i,אי
209,the book,hasefer,הספר
210,once / once upon a time,pa'am,פעם
211,saw (m.pl.),ra'u,ראו
212,by this,bekhakh,בכך
213,looks,nir'e,נראה
214,and between,levein,לבין
215,and until,ve'ad,ועד
216,against,keneged,כנגד
217,fought (f.s.),rava,רבה
218,returned (f.s.),shava,שבה
219,too,midai,מדי
220,at the end,basof,בסוף
221,the party (political),hamiflaga,המפלגה
222,especially,bimyukhad,במיוחד
223,difference / variation / variance (stat.),shonut,שונות
224,the water,hamayim,המים
225,and also,vegam,וגם
226,the more / as far as,kekhol,ככל
227,that were,shehayu,שהיו
228,in a period / in an era,bitkufa,בתקופה
229,in the possession of / at / near,etsel,אצל
230,still / yet,adayin,עדיין
231,the years,hashanim,השנים
232,to it,lekhakh,לכך
233,Jew / Jewish (m.s.),yehudi,יהודי
234,value,erekh,ערך
235,now,akhshav,עכשיו
236,started (pl.),hekhelu,החלו
237,at the time [of],bizman,בזמן
238,the powers / the forces / the strength,hakokhot,הכוחות
239,tree / wood,ets,עץ
240,soldier (m),khayal,חיל
241,possible (adv.),efshar,אפשר
242,while,be'od,בעוד
243,the houses of / the homes of,batei,בתי
244,hers,shela,שלה
245,the island,ha'i,האי
246,in the same / at the same (f.s.),be'ota,באותה
247,big / large (f.s.),gdola,גדולה
248,arrived (m.s.),hegi'a,הגיע
249,together,yakhad,יחד
250,actually / in fact,lema'ase,למעשה
251,army,tsava,צבא
252,a little / a few,me'at,מעט
253,and more / and still / plus,ve'od,ועוד
254,theirs,shelahem,שלהם
255,on me / about me,alai,עלי
256,between them (m.),beinehem,ביניהם
257,and they (f.),vehen,והן
258,sea,yam,ים
259,and between,uvein,ובין
260,everything,hakol,הכל
261,here is / you see / the mountains of,harei,הרי
262,are not / are not here (m.pl.),einam,אינם
263,at the beginning of,bitkhilat,בתחילת
264,the land / the earth / the soil / the ground,ha'adama,האדמה
265,the sentence / the trial,hamishpat,המשפט
266,in a way / in a shape / in a form,betsura,בצורה
267,end,sof,סוף
268,won (m.s.),zakha,זכה
269,outside of,mikhuts,מחוץ
270,in the time of / in the period of / in the era of,bitkufat,בתקופת
271,here,po,פה
272,similar,dome,דומה
273,in a frame / in a framework,bemisgeret,במסגרת
274,the empire,ha'imperia,האימפריה
275,people,anashim,אנשים
276,system / editorial board,ma'arekhet,מערכת
277,Maybe / perhaps,ulai,אולי
278,the sun,hashemesh,השמש
279,book,sefer,ספר
280,matters,inyanim,עניינים
281,that she / that is (f.s.),shehi,שהיא
282,is not / is not here (f.s.),eina,אינה
283,year [X] / year of,shnat,שנת
284,mine,sheli,שלי
285,to see,lir'ot,לראות
286,and therefore / and to/for you (f.pl.),velakhen,ולכן
287,in the years,bashanim,בשנים
288,writing,ktav,כתב
289,the battle,hakrav,הקרב
290,small / little (m.s.),katan,קטן
291,on [day / date] / per day,beyom,ביום
292,because,mipnei,מפני
293,[to] there,lesham,לשם
294,content,tokhen,תוכן
295,the power / the force / the strength,hako'akh,הכוח
296,arrived (pl.),hegi'u,הגיעו
297,in the years of,bishnot,בשנות
298,in countries,be'aratsot,בארצות
299,the way / the road,haderekh,הדרך
300,soldiers,khayalim,חיילים
